"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Miestas ir kaimas","asmenys","298724"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Miestas","asmenys","298724"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Kaimas","asmenys",
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Miestas ir kaimas","asmenys","301300"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Miestas","asmenys","301300"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno m. sav.","Kaimas","asmenys",
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Miestas ir kaimas","asmenys","96036"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Miestas","asmenys","13109"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Kaimas","asmenys","82927"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Miestas ir kaimas","asmenys","93649"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Miestas","asmenys","13666"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Kaimas","asmenys","79983"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Miestas ir kaimas","asmenys","96739"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Miestas","asmenys","13470"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno r. sav.","Kaimas","asmenys","83269"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Miestas ir kaimas","asmenys","45056"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Miestas","asmenys","22551"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Kaimas","asmenys","22505"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Miestas ir kaimas","asmenys","46160"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Miestas","asmenys","23333"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Kaimas","asmenys","22827"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Miestas ir kaimas","asmenys","45857"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Miestas","asmenys","23227"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kėdainių r. sav.","Kaimas","asmenys","22630"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Miestas ir kaimas","asmenys","25594"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Prienų r. sav.","Miestas","asmenys","9399"
